336,Thermal Cutoffs (Thermal Fuses),F
448,"LEDs - Circuit Board Indicators, Arrays, Light Bars, Bar Graphs",D
1315,Specialized Sensors,U
84,Accessories,NA
824,Trimmer Potentiometers,POT
131,Thyristors - SCRs,D
1325,Thyristors - TRIACs,TRI
1366,Magnetic Sensors - Switches (Solid State),Q
837,Transistors - JFETs,Q
1003,RF Transmitters,U
1360,"Addressable, Specialty",D
755,"Rectangular Connectors - Headers, Male Pins",J
947,Modular Connectors - Jacks With Magnetics,J
913,Inrush Current Limiters (ICL),ICL
1230,Data Acquisition - Touch Screen Controllers,U
1293,"Capacitive Touch Sensors, Proximity Sensor ICs",U
1176,RF Demodulators,U
223,DC DC Converters,U
461,Motion Sensors - Tilt Switches,S
864,Data Acquisition - ADCs/DACs - Special Purpose,U
1295,Interface - Modules,U
703,RF Amplifiers,U
1078,RF Antennas,ANT
1180,"Sockets for ICs, Transistors",J
1308,D-Sub Connectors,J
794,Interface - Specialized,U
1117,Evaluation Boards - Sensors,A
333,"Evaluation Boards - Embedded - MCU, DSP",A
630,"Display Modules - LCD, OLED, Graphic",DS
365,Crystal,XTAL
135,"Banana and Tip Connectors - Jacks, Plugs",J
1304,Barrel - Power Connectors,J
946,Optical Sensors - Distance Measuring,U
168,"Shunts, Jumpers",J
586,Test Points,TP
959,Terminal Blocks - Wire to Board,J
